id,lon,lat,time,FOR_CODE,FOR_TYPE,FOR_CAT,COVER,HEIGHT,FOREST,rf,arf7,arf14,arf28,arf60,arf90,arf180,arf360,arf720,se,ase7,ase14,ase28,ase60,ase90,ase180,ase360,ase720,maxt,amaxt7,amaxt14,amaxt28,amaxt60,amaxt90,amaxt180,amaxt360,amaxt720,mint,amint7,amint14,amint28,amint60,amint90,amint180,amint360,amint720,dist_cfa,dist_camp,ws,aws_m0,aws_m1,aws_m3,aws_m6,aws_m12,aws_m24,dist_road,log_dist_cfa,log_dist_camp,log_dist_road,cause
12,148.42333,-37.10333166666667,2019-10-06,41,Eucalypt Medium Woodland,Native forest,1,2,1,0.2,0.857142857142857,2.05714285714286,2.38571428571429,3.03,2.63166666666667,2.02888888888889,1.70555555555556,1.84555555555556,24.7,18.3285714285714,18.1642857142857,18.3,19.9050847457627,20.153781512605,18.7810055865922,14.7860724233983,14.6823365785814,24,20.3,20.1785714285714,17.5178571428571,20.6566666666667,22.7391666666667,22.9038888888889,17.8602777777778,17.7752777777778,7.6,8.25714285714286,8.42142857142857,6.58571428571429,8.885,10.5616666666667,10.4427777777778,7.19805555555556,7.19319444444444,14573.781581915066,18172.838489575806,2.5061466249441215,2.6956144684511356,2.9671680643156755,2.954369609700942,2.561416021406733,2.6335837689168984,2.6815831736764384,42.8036570593275,9.586979411286242,9.807683367658056,3.7566235442488987,accident
13,148.79999,-37.3,2019-10-06,45,Eucalypt Tall Open,Native forest,2,3,1,0,2.34285714285714,2.61428571428571,2.75,3.52,3.065,2.44888888888889,1.85777777777778,2.15777777777778,23.9,18.0857142857143,17.2571428571429,17.25,18.6525423728814,18.9327731092437,17.8055865921788,14.0855153203343,14.0367176634214,27,22.8285714285714,22.0785714285714,19.4464285714286,22.8066666666667,24.465,24.3083333333333,19.4294444444444,19.3434722222222,11.7,11.3571428571429,10.6714285714286,8.88928571428571,10.9766666666667,12.5625,12.4761111111111,9.39833333333333,9.45541666666667,9566.304163256176,9204.55350819543,2.5061466249441215,2.6956144684511356,2.9671680643156755,2.954369609700942,2.561416021406733,2.6335837689168984,2.6815831736764384,386.60769928937066,9.16600222001911,9.127453587134474,5.957410481964878,lightning
14,148.79999,-37.36,2019-10-06,45,Eucalypt Tall Open,Native forest,2,3,1,0,2.34285714285714,2.61428571428571,2.75,3.37666666666667,2.78333333333333,2.26111111111111,1.75777777777778,2.1075,23.9,18.0857142857143,17.2571428571429,17.25,18.6525423728814,18.9327731092437,17.8055865921788,14.0855153203343,14.0367176634214,27,22.8285714285714,22.0785714285714,19.4464285714286,22.8066666666667,24.465,24.3083333333333,19.4294444444444,19.3748611111111,11.7,11.3571428571429,10.6714285714286,8.88928571428571,10.9766666666667,12.5866666666667,12.4922222222222,9.40638888888889,9.50194444444444,9390.868959702606,9096.22871873539,2.5061466249441215,2.6956144684511356,2.9671680643156755,2.954369609700942,2.561416021406733,2.6335837689168984,2.6815831736764384,593.6856707939788,9.147493108890052,9.115615180093947,6.386350005553293,lightning
15,148.85000000000002,-37.38,2019-10-06,45,Eucalypt Tall Open,Native forest,2,3,1,0,2.34285714285714,2.61428571428571,2.75,3.37666666666667,2.78333333333333,2.26111111111111,1.75777777777778,2.1075,23.9,18.0857142857143,17.2571428571429,17.25,18.6525423728814,18.9327731092437,17.8055865921788,14.0855153203343,14.0367176634214,27,22.8285714285714,22.0785714285714,19.4464285714286,22.8066666666667,24.465,24.3083333333333,19.4294444444444,19.3748611111111,11.7,11.3571428571429,10.6714285714286,8.88928571428571,10.9766666666667,12.5866666666667,12.4922222222222,9.40638888888889,9.50194444444444,14361.40098704547,4711.218908208099,2.5061466249441215,2.6956144684511356,2.9671680643156755,2.954369609700942,2.561416021406733,2.6335837689168984,2.6815831736764384,443.1745253774369,9.572299399615344,8.45770194508132,6.093963654939579,lightning
16,144.73999,-36.86,2019-10-14,44,Eucalypt Medium Open,Native forest,2,2,1,0,0.914285714285714,0.657142857142857,2.11428571428571,2.19666666666667,1.69166666666667,1.32555555555556,1.38166666666667,1.31083333333333,16.1,19.4,20.4714285714286,21.6428571428571,22.9915254237288,23.7563025210084,21.4217877094972,16.2988857938719,16.2486787204451,25,22.9428571428571,21.0857142857143,24.3285714285714,27.0666666666667,29.45,28.6127777777778,22.4077777777778,21.8093055555556,9,8.75714285714286,6.95714285714286,9.09285714285714,10.8916666666667,12.2091666666667,11.5372222222222,7.53388888888889,8.46375,6926.800814581504,19259.789620682397,2.677507077931754,2.839691876678939,2.730127466613566,2.7319761426930658,2.5197966891897132,2.9198542782363845,2.944764514402731,42.481748781069015,8.84315334267652,9.865774762171087,3.7490745432489807,burning_off
17,144.229995,-37.28,2019-10-14,0,Non forest,Non forest,6,6,0,0,0.957142857142857,0.692857142857143,1.95357142857143,1.825,1.4925,1.22111111111111,1.39555555555556,1.41597222222222,14.4,20.4571428571429,20.4357142857143,21.525,23.028813559322,23.8579831932773,21.4262569832402,16.0362116991643,15.9677329624478,23.8,22.0571428571429,19.7285714285714,23.1821428571429,25.6466666666667,28.0208333333333,27.2394444444444,21.1913888888889,21.0815277777778,10.5,9.57142857142857,7.40714285714286,10.3,12.0416666666667,13.295,12.595,8.56388888888889,8.44263888888889,2208.948652141359,2931.4048867732563,2.677507077931754,2.839691876678939,2.730127466613566,2.7319761426930658,2.5197966891897132,2.9198542782363845,2.944764514402731,167.48161441892515,7.700271958306746,7.9832370706359725,5.120873580577406,burning_off
18,143.63,-36.12,2019-10-14,0,Non forest,Non forest,6,6,0,0,0.942857142857143,0.5,0.507142857142857,0.713333333333333,0.463333333333333,0.397777777777778,0.634444444444444,0.894166666666667,15.6,20.3,22.05,22.5214285714286,23.3830508474576,23.9210084033613,21.6324022346369,16.6353760445682,16.8136300417246,28.9,26.6142857142857,24.2428571428571,27.2464285714286,29.3233333333333,31.4733333333333,30.3594444444444,24.0172222222222,23.7640277777778,10.9,9.21428571428572,7.12142857142857,10.4321428571429,12.4483333333333,13.9391666666667,13.235,8.94666666666667,9.02444444444444,8377.471256087858,34265.540411145266,2.677507077931754,2.839691876678939,2.730127466613566,2.7319761426930658,2.5197966891897132,2.9198542782363845,2.944764514402731,341.2594177379297,9.03330138852087,10.441895475415919,5.832642943885185,accident
19,143.63333333333333,-36.126666666666665,2019-10-20,0,Non forest,Non forest,6,6,0,3.4,0.542857142857143,0.271428571428571,0.414285714285714,0.66,0.456666666666667,0.38,0.63,0.889722222222222,18.8,22.6,23.9357142857143,22.8074074074074,23.9135593220339,23.7840336134454,21.3513966480447,16.6704735376045,16.7969401947149,17,21.0285714285714,25.1285714285714,28.6357142857143,29.8283333333333,31.5575,30.3044444444444,23.9625,23.7159722222222,6.9,5.11428571428571,7.47857142857143,12.0107142857143,13.0533333333333,14.3375,13.185,8.89694444444445,9.00555555555556,8162.4961774935455,33562.14336581387,3.684249739234093,2.839691876678939,2.730127466613566,2.7319761426930658,2.5197966891897132,2.9241652232883837,2.947694082852485,242.3634004808282,9.007305305283634,10.421154025222739,5.490438254679911,accident
20,143.87,-36.84,2019-10-21,41,Eucalypt Medium Woodland,Native forest,1,2,1,1,0.285714285714286,0.142857142857143,1.75714285714286,1.45,1.21166666666667,0.987777777777778,1.10444444444444,1.13111111111111,18.2,21.2142857142857,22.9714285714286,22.4777777777778,23.5440677966102,23.9235294117647,21.2988826815642,16.3089136490251,16.2428372739917,16,18.1857142857143,23.25,26.2607142857143,27.3116666666667,29.0791666666667,27.8833333333333,21.855,21.79625,2.5,5.3,8.1,11.95,12.8116666666667,13.83,12.8872222222222,8.85111111111111,8.76319444444444,3232.381861728782,6744.110301853092,1.8436021149014226,2.839691876678939,2.730127466613566,2.7319761426930658,2.5197966891897132,2.9242402737334654,2.946873962938511,52.58999634454565,8.08097456294916,8.816424855101484,3.962525918092706,arson
21,144.49,-36.89,2019-10-22,44,Eucalypt Medium Open,Native forest,2,2,1,0,0,0,2.90714285714286,2.04333333333333,1.62,1.27555555555556,1.37222222222222,1.20833333333333,16.3,22.0571428571429,24.1428571428571,23.3074074074074,23.4576271186441,23.6899159663866,21.0960893854749,16.3626740947075,16.2475660639777,20.6,19.4142857142857,24.5785714285714,26.9321428571429,28.07,29.8708333333333,28.6661111111111,22.3983333333333,22.3484722222222,9.3,5.37142857142857,7.92142857142857,11,11.86,12.6583333333333,11.4766666666667,7.45166666666667,7.56305555555556,2376.632950022895,1895.436542779123,1.3328035232371396,2.839691876678939,2.730127466613566,2.7319761426930658,2.5197966891897132,2.9281470899727604,2.952025971679685,210.9111638750822,7.773440038113471,7.5472044565691006,5.351437020531746,burning_off
