Star,[Fe/H],[TiI/Fe],[CaI/Fe],[MgI/Fe],[CuI/Fe],[Al/Mg],[BaII/Fe],[ZnI/Fe],[CeII/Fe],[Mg/Ti],[Y/Ba],[Y/Zn],Teff,logg,vtur,Age,pop,log_S_N
HD223315,0.3,0.01,-0.03,-0.04,0.02,0.13,-0.06,-0.08,0.04,-0.05,0.049999999999999996,0.07,5650,4.44,0.89,2.276,thin,1.8920946026904804
HD223854,-0.54,0.16,0.17,0.04,-0.08,-0.06,-0.06,-0.08,-0.03,-0.12,-0.08000000000000002,-0.06000000000000001,6080,4.08,1.6,6.133,thin,2.403120521175818
HD224047,-0.22,0.07,0.06,-0.06,-0,0.09,0.03,-0.05,0.12,-0.13,-0.009999999999999998,0.07,5154,4.4,0.54,6.384,thin,2.093421685162235
HD224063,0.14,0.08,0.01,0.1,0.12,0.03,-0.08,0.07,0.05,0.020000000000000004,0.009999999999999995,-0.14,5591,4.27,0.84,9.331,high,2.2405492482826
HD224230,-0.12,0.11,0.01,0.03,0.02,0.020000000000000004,-0.04,-0.07,-0.06,-0.08,-0.049999999999999996,-0.01999999999999999,4794,4.24,0.44,6.156,thin,2.0170333392987803
HD224287,-0.29,0.06,0.06,0,-0.07,0.04,0.06,0.02,0.09,-0.06,-0.049999999999999996,-0.01,5330,4.38,0.59,8.282,thin,1.7993405494535817
HD224347,-0.42,0.09,0.08,0.12,-0.07,-0.16,-0.04,-0.05,-0.07,0.03,-0.12,-0.11,6092,4.27,1.31,8.128,thin,2.4885507165004443
HD224393,-0.38,0.08,0.09,0.09,-0.09,-0.08,0.11,-0.04,0.12,0.009999999999999995,-0.13,0.02,5774,4.54,0.84,5.655,thin,2.5490032620257876
HD224432,-0.03,0.01,-0.12,-0.11,-0.04,0.06,0.08,0.03,0.16,-0.12,-0.1,-0.05,4724,4.28,0.04,6.089,thin,1.8325089127062364
HD224433,0.09,0.02,-0.01,0.02,0.06,0,-0.02,-0.04,-0.02,0,0.05,0.07,5527,4.42,0.72,4.158,thin,1.9912260756924949
HD224578,-0.01,0.01,0.02,-0.08,-0.11,-0.06999999999999999,0.17,-0.12,0.15,-0.09,-0.11000000000000001,0.18,6158,4.67,1.13,0.791,thin,1.8692317197309762
HD224619,-0.2,0.08,0.04,0.07,0.02,0.01999999999999999,-0.08,0.05,0.01,-0.009999999999999995,-0.05,-0.18,5436,4.39,0.79,9.546,thin,2.6503075231319366
HD224685,-0.4,0.12,0.1,0.1,-0.02,-0.020000000000000004,0.03,0,0,-0.01999999999999999,-0.09,-0.06,5504,4.47,0.76,6.676,thin,2.4983105537896004
HD224789,-0.04,0.08,0.06,-0,-0,0.03,0.07,0.05,0.07,-0.08,-0.060000000000000005,-0.04,5150,4.4,0.93,5.400,thin,2.921686475483602
HD224817,-0.53,0.24,0.2,0.27,-0.04,-0.17,-0.09,0.12,-0.08,0.030000000000000027,-0.03,-0.24,5894,4.36,1.13,12.197,thick,2.747411807886423
HD225297,-0.09,0.02,0.05,0.13,-0.08,-0.30000000000000004,0.03,-0.12,-0,0.11,-0.04,0.11,6181,4.55,1.24,2.273,thin,2.225309281725863
HD22610,-0.22,0.08,0.02,-0.05,-0.09,0.21000000000000002,0.1,-0.12,0.17,-0.13,-0.05,0.16999999999999998,4981,4.41,0.64,6.544,thin,2.1789769472931693
