Star,[Fe/H],[TiI/Fe],[CaI/Fe],[MgI/Fe],[CuI/Fe],[Al/Mg],[BaII/Fe],[ZnI/Fe],[CeII/Fe],[Mg/Ti],[Y/Ba],[Y/Zn],Teff,logg,vtur,Age,pop,log_S_N
HD62364,-0.11,0.03,0.09,0.25,-0.06,-0.37,0.04,-0.1,0.03,0.22,-0.07,0.07,6255,4.47,1.42,3.901,thin,2.330413773349191
HD62847,-0.25,0.08,0.04,0.02,-0.08,-0.01,0.14,0.01,0.17,-0.06,-0.08000000000000002,0.049999999999999996,5362,4.48,0.67,6.264,thin,2.2695129442179165
HD62849,-0.17,0.06,0.05,0.03,-0.06,0.07,0.09,0.04,0.06,-0.03,0.020000000000000004,0.07,5338,3.59,1.04,2.684,thin,2.4683473304121573
HD63454,0.13,0.03,-0.09,-0.21,0.02,0.22999999999999998,-0,-0.12,0.03,-0.24,0.04,0.16,4756,4.32,0.31,5.593,thin,2.3961993470957363
HD6348,-0.59,0.19,0.16,0.2,-0.01,-0.04000000000000001,-0.06,0.07,0.02,0.010000000000000009,-0.07,-0.2,5080,4.47,0.33,9.782,thin,2.3364597338485296
HD63685,0,0.13,0.06,0.14,0.11,0.06,-0.04,0.12,0.05,0.010000000000000009,-0.010000000000000002,-0.16999999999999998,5497,4.05,0.94,9.451,high,2.1818435879447726
HD63754,0.21,0,-0.03,-0.01,0.01,0.02,-0.15,-0.05,-0.16,-0.01,0.03,-0.06999999999999999,6200,4.21,1.57,2.595,thin,2.359835482339888
HD63765,-0.16,0.05,0.07,0.02,-0.08,-0.02,0.08,-0,0.09,-0.030000000000000002,-0.04,0.04,5432,4.42,0.82,5.529,thin,2.932473764677153
HD64640,0.2,0.03,-0.04,0,0.13,0.08,-0.14,0.01,-0.2,-0.03,0.06000000000000001,-0.09,5128,4.18,0.63,6.286,thin,1.9912260756924949
HD65216,-0.17,0.05,0.05,0.04,-0.08,-0.03,0.14,-0.03,0.1,-0.010000000000000002,-0.1,0.07,5612,4.44,0.78,5.080,thin,2.7649229846498886
HD65277,-0.3,0.19,0.09,0.05,0.03,0.12000000000000001,-0.08,-0.06,-0.06,-0.14,-0.09000000000000001,-0.11000000000000001,4701,4.3,0.3,5.891,thin,2.681241237375587
HD65562,-0.13,0.2,0.09,0.07,0.13,0.13,-0.03,0.07,0.1,-0.13,-0.020000000000000004,-0.12000000000000001,5018,4.35,0.41,7.508,high,2.6665179805548807
HD65907A,-0.31,0.23,0.2,0.28,0.02,-0.060000000000000026,-0.08,0.17,-0.08,0.05000000000000002,-0.03,-0.28,5945,4.52,1.05,8.048,thick,3.0492180226701815
HD65982,-0.1,0.02,0.04,0.03,-0.05,0.04000000000000001,-0.01,-0.03,-0.05,0.009999999999999998,-0.019999999999999997,0,5947,4.42,1.08,6.309,thin,2.1818435879447726
HD66039,0.17,-0,0.05,-0.05,-0.11,-0.020000000000000004,0.11,-0.17,-0.06,-0.05,-0.05,0.23,6149,4.52,1.14,0.713,thin,2.2648178230095364
HD66040,0.35,0.06,-0.09,0,0.18,0.1,-0.17,0.06,0.09,-0.06,0.11000000000000001,-0.12,5226,4.34,0.76,5.138,thin,2.155336037465062
HD66168,-0.03,-0.02,0.03,-0.09,-0.11,-0.020000000000000004,0.14,-0.12,0.01,-0.06999999999999999,-0.11000000000000001,0.15,6198,4.69,1.18,0.804,thin,2.173186268412274
HD66221,0.17,0.06,-0.01,0.05,0.11,0.039999999999999994,-0.06,0.01,0.04,-0.009999999999999995,0.019999999999999997,-0.05,5635,4.4,0.92,5.590,thin,2.72916478969277
HD66340,0.03,0.08,0.01,0.01,0.08,0.08,-0.09,-0.04,0.03,-0.07,0.009999999999999995,-0.04,5284,4.36,0.75,6.338,thin,2.4668676203541096
HD66428,0.25,0.01,-0,0.14,0.13,-0.06000000000000001,-0.14,0.03,-0.11,0.13,0.04000000000000001,-0.13,5705,4.31,0.96,4.642,thin,2.0253058652647704
HD6673,-0.28,0.14,0.05,0.05,0.05,0.009999999999999995,0.04,-0.03,0.08,-0.09000000000000001,-0.03,0.04,4875,4.39,0.38,6.182,thin,2.4578818967339924
HD66740,0.04,0.01,0.05,-0.17,-0.14,-0.12999999999999998,-0.09,-0.19,-0.11,-0.18000000000000002,-0.03,0.07,6666,4.49,1.7,0.686,thin,2.1760912590556813
HD66838,0.03,0.05,0,0.18,0.08,-0.15,-0.1,0.04,-0.08,0.13,-0.06,-0.2,5392,4.29,0.71,7.626,thin,2.130333768495006
HD67,0.03,0.02,0.01,-0.04,-0.11,0,0.12,-0.08,0.06,-0.06,-0.07999999999999999,0.12,5746,4.56,1.02,1.836,thin,2.361727836017593
HD6718,-0.07,0.01,0.02,-0.01,-0.04,0.02,0,-0,0,-0.02,-0.02,-0.02,5723,4.44,0.84,5.554,thin,2.48572142648158
HD67200,0.32,-0.02,-0.04,-0.07,0.04,0.05,-0.19,-0.01,-0.1,-0.05,0.13,-0.049999999999999996,6105,4.44,1.19,1.172,thin,2.230448921378274
HD6735,-0.06,0.01,0.07,0.02,-0.09,-0.09000000000000001,0.1,-0.08,0.04,0.01,-0.07,0.11,6082,4.49,1.15,2.208,thin,2.7403626894942437
HD67458,-0.16,0.07,0.07,0.05,-0.1,-0.030000000000000002,0.1,-0.07,0.08,-0.020000000000000004,-0.09000000000000001,0.08,5891,4.53,1.04,3.930,thin,2.966610986681934
HD68089,-0.77,0.25,0.22,0.33,-0.13,-0.13,-0.03,0.1,-0.05,0.08000000000000002,-0.04000000000000001,-0.17,5597,4.53,0.66,12.737,thick,2.247973266361807
HD68284,-0.5,0.13,0.14,0.13,-0.08,-0.16,-0.02,-0.04,-0.04,0,-0.09,-0.07,5933,4.08,1.4,5.670,thin,2.569373909615046
HD68287,0.06,0,0.03,-0.09,-0.11,-0.020000000000000004,-0.06,-0.11,-0.09,-0.09,0,0.05,6318,4.63,1.45,0.731,thin,2.146128035678238
HD68607,0.07,0.08,0.03,0.04,0.05,0.010000000000000002,-0.05,-0.1,0.08,-0.04,0.030000000000000002,0.08,5215,4.41,0.82,4.560,thin,2.88930170250631
HD68978A,0.04,0.01,0.02,0.01,-0.05,-0.02,0.01,-0.05,-0.03,0,0,0.060000000000000005,5965,4.48,1.09,1.909,thin,3.059941888061955
HD69611,-0.58,0.27,0.28,0.35,-0.06,-0.08999999999999997,-0.08,0.18,-0.14,0.07999999999999996,0.07,-0.19,5762,4.31,0.99,13.046,thick,2.4149733479708178
HD69655,-0.18,0.01,0.04,0,-0.05,-0.01,-0.03,-0.03,-0.07,-0.01,-0.06,-0.06,5961,4.44,1.15,6.023,thin,2.850033257689769
HD69830,-0.06,0.08,0.05,0.04,0.02,0.04,-0.05,0.01,0.04,-0.04,0.020000000000000004,-0.04,5402,4.4,0.8,6.508,thin,3.30362797638389
HD70642,0.18,-0.01,-0.01,0.06,0.07,-0.019999999999999997,-0.08,0.06,-0.09,0.06999999999999999,0.05,-0.09,5668,4.4,0.82,3.801,thin,2.1986570869544226
HD70889,0.11,-0.02,0.01,-0.03,-0.1,-0.05,0.05,-0.11,-0.04,-0.009999999999999998,-0.010000000000000002,0.15,6051,4.49,1.13,1.064,thin,3.010723865391773
HD70903,-0.46,0.14,0.09,0.04,-0.05,0.07,0.07,0.03,0.18,-0.1,-0.08,-0.04,5064,4.44,0.48,7.570,thin,2.0453229787866576
HD71334,-0.09,0.06,0.05,0.07,-0.02,-0.010000000000000009,-0.08,-0,-0.05,0.010000000000000009,-0.039999999999999994,-0.12,5694,4.37,0.95,8.280,thin,2.578639209968072
HD7134,-0.29,0.06,0.06,0.09,-0.06,-0.06999999999999999,-0.06,-0.03,-0.06,0.03,-0.09,-0.12,5940,4.41,1.17,8.982,thin,2.7671558660821804
HD71479,0.24,0.01,0.01,-0,0.03,0.02,-0.12,-0.03,-0.12,-0.01,0.06,-0.03,6026,4.42,1.19,2.177,thin,2.8870543780509568
HD71685,-0.37,0.07,0.11,-0.03,-0.1,-0.05,0.12,-0.07,0.08,-0.1,-0.19,0,6038,4.58,1.09,4.963,thin,2.0718820073061255
HD71835,-0.04,0.02,0.02,0,0,0.04,-0.04,0,0.03,-0.02,0.03,-0.01,5438,4.39,0.79,6.526,thin,2.637489729512511
HD7199,0.28,0.07,-0.04,0.06,0.21,0.03,-0.22,-0.02,0.03,-0.010000000000000009,0.14,-0.06,5386,4.34,1.01,5.248,high,2.9360107957152097
HD72374,-0.09,0.03,0.04,0.04,-0.02,0.010000000000000002,-0.01,0.03,-0.11,0.010000000000000002,-0.09000000000000001,-0.13,5767,4.35,0.9,8.043,thin,2.113943352306837
HD72579,0.2,0.04,0.02,0.1,0.08,-0.020000000000000004,-0.11,0.05,0.03,0.060000000000000005,0.020000000000000004,-0.14,5449,4.27,0.84,7.388,thin,2.530199698203082
HD72659,-0.02,0.02,0.05,0.04,-0.02,-0.010000000000000002,-0.05,0.01,-0.1,0.02,-0.009999999999999995,-0.06999999999999999,5926,4.24,1.13,6.767,thin,2.519827993775719
HD72673,-0.41,0.16,0.1,0.1,0.04,0.03,-0.02,0.04,0.06,-0.06,-0.05,-0.11000000000000001,5243,4.46,0.6,7.160,thin,3.305566313515304
HD72769,0.3,0.01,-0.08,0.04,0.13,-0.010000000000000002,-0.13,0,-0.01,0.03,0.08,-0.05,5640,4.35,0.98,5.390,thin,2.597695185925512
HD73121,0.09,0.01,0.03,0.02,-0.01,0,-0.04,-0.05,-0.04,0.01,0.02,0.030000000000000002,6091,4.3,1.34,3.976,thin,2.775974331129369
HD73256,0.23,0.05,0.02,0,0.05,0.05,-0.11,-0.01,-0.03,-0.05,0.06,-0.04,5526,4.42,1.11,2.189,thin,2.954724790979063
HD73267,0.05,0.13,0.06,0.06,0.1,0.07,-0.05,0.04,0.09,-0.07,0.010000000000000002,-0.08,5373,4.37,0.66,6.991,high,2.537819095073274
HD73524,0.16,0.02,0.04,0.02,-0.09,-0.01,0.01,-0.12,-0.03,0,0.03,0.16,6017,4.43,1.14,1.599,thin,2.760422483423212
HD73583,-0.23,0.09,0.05,-0.02,-0.01,0.06,0.04,-0.17,0.09,-0.11,0.049999999999999996,0.26,4597,4.26,0.66,5.120,thin,2.1789769472931693
HD74014,0.22,0.02,-0.03,0.01,0.1,0.060000000000000005,-0.1,0.03,0.02,-0.01,0.060000000000000005,-0.07,5561,4.33,0.9,6.275,thin,2.586587304671755
HD7449,-0.11,0.02,0.05,-0.02,-0.11,-0.039999999999999994,0.1,-0.06,0.04,-0.04,-0.07,0.09,6024,4.51,1.11,2.138,thin,2.9278834103307068
HD74698,0.07,0.03,0.04,0.05,0.01,0.009999999999999995,-0.05,-0.01,-0.07,0.020000000000000004,-0.039999999999999994,-0.08,5783,4.27,1.01,7.847,thin,2.5809249756756194
HD74957,-0.18,0.06,0.07,0.05,-0.05,0.009999999999999995,0.05,-0.01,0.03,-0.009999999999999995,-0.060000000000000005,0,5915,4.54,0.95,4.737,thin,2.164352855784437
HD750,-0.3,0.08,0.05,-0.03,-0.1,0.03,0.17,-0.04,0.19,-0.11,-0.12000000000000001,0.09,5069,4.33,0.66,6.458,thin,2.060697840353612
HD75289,0.3,0.02,0.05,-0.04,-0.11,0.02,-0.04,-0.13,-0.1,-0.06,0.04,0.13,6161,4.37,1.29,0.833,thin,3.0663259253620376
HD75328,-0.23,0.04,0.11,0.04,-0.08,-0.04,0.04,-0.05,0.01,0,-0.12,-0.03,6003,4.46,1.05,6.501,thin,1.99563519459755
HD75530,-0.54,0.33,0.24,0.25,0.04,0.03999999999999998,-0.13,0.13,0.01,-0.08000000000000002,0.04000000000000001,-0.22,5311,4.48,0.53,11.544,thick,2.5211380837040362
HD75745,-0.78,0.29,0.22,0.3,-0.13,-0.18,-0.03,0.05,0.09,0.010000000000000009,0.009999999999999998,-0.07,5885,4.29,1.34,11.784,thick,2.4313637641589874
HD75881,0.07,0.02,-0.03,-0.04,0.03,-0.22,-0.04,-0.08,-0.03,-0.06,0.010000000000000002,0.05,6239,4.44,1.63,2.952,thin,2.103803720955957
HD76151,0.12,0,0.03,-0.01,-0,-0.01,-0.01,-0.02,-0.06,-0.01,-0.019999999999999997,-0.009999999999999998,5788,4.48,0.96,1.568,thin,2.5118833609788744
HD76188,-0.44,0.12,0.14,0.05,-0.1,-0.18,0.01,-0,-0.06,-0.06999999999999999,-0.14,-0.13,5989,4.08,1.25,7.009,thin,1.954242509439325
HD76440,-0.01,0.04,0.02,0.01,-0.02,0.31,-0.03,-0.01,-0.05,-0.03,-0.020000000000000004,-0.04,5764,4.43,0.89,5.138,thin,1.9867717342662448
HD77110,-0.5,0.22,0.16,0.24,-0.03,-0.06,-0.06,0.13,-0.08,0.01999999999999999,-0.05,-0.24,5717,4.48,0.86,12.147,thick,2.639486489268586
HD78429,0.09,0.01,0.01,0.01,-0.02,0.01,-0.04,-0.01,-0.02,0,-0.07,-0.1,5760,4.33,1.01,7.426,thin,3.2076343673889616
HD78538,-0.03,0.02,0.06,-0.01,-0.18,-0.019999999999999997,0.19,-0.12,0.12,-0.03,-0.09,0.22,5786,4.5,0.98,2.103,thin,2.550228353055094
HD78558,-0.44,0.27,0.21,0.29,0.01,-0.009999999999999953,-0.09,0.22,-0.09,0.019999999999999962,0.039999999999999994,-0.27,5711,4.36,0.99,12.886,thick,2.6283889300503116
HD78612,-0.24,0.08,0.1,0.13,-0.07,-0.05,-0.03,0.05,-0.02,0.05,-0.08,-0.16,5834,4.27,1.14,10.214,thin,2.7831886910752575
HD78747,-0.67,0.29,0.27,0.37,-0.09,-0.09999999999999998,-0.1,0.14,-0.06,0.08000000000000002,0.08,-0.16,5788,4.44,1.1,12.938,thick,2.9020028913507296
HD79601,-0.59,0.27,0.24,0.33,-0.05,-0.15000000000000002,-0.12,0.16,-0.07,0.06,0.01999999999999999,-0.26,5825,4.32,1.09,12.839,thick,2.7283537820212285
HD8038,0.15,0.02,0,-0.03,-0.04,-0.010000000000000002,0.04,-0.09,-0.07,-0.05,0,0.13,5694,4.45,0.88,2.081,thin,1.7634279935629373
HD80883,-0.25,0.09,0.08,0.02,-0.04,0.02,0.06,0,0.14,-0.06999999999999999,-0.049999999999999996,0.01,5233,4.44,0.8,6.133,thin,2.7267272090265724
HD81639,-0.17,0.09,0.05,0.08,-0.01,0.020000000000000004,-0.06,0,-0.02,-0.009999999999999995,-0.010000000000000009,-0.07,5522,4.4,0.79,8.629,thin,2.5171958979499744
HD81700,0.12,-0.01,0.04,0.05,-0.1,-0.09,0.06,-0.08,0.03,0.060000000000000005,-0.03,0.11,5882,4.53,0.98,1.264,thin,2.0791812460476247
HD82114,0.01,0.04,0.04,-0.08,0,0.16,-0.05,-0.07,0,-0.12,0.05,0.07,5912,4.2,1.28,6.028,thin,2.12057393120585
HD82342,-0.56,0.02,-0.12,0.27,0.16,-0.030000000000000027,-0.21,0.26,-0.06,0.25,0.16999999999999998,-0.3,4470,4.6,0.1,---,thick,2.7795964912578244
HD82516,0.02,0.07,-0,-0.09,0.11,0.15,-0.04,-0.01,0.09,-0.16,0.04,0.01,5041,4.47,0.5,5.992,thin,2.699837725867246
HD82783,0.21,0.11,-0.04,0.09,0.22,0.07,-0.24,0.12,0.12,-0.020000000000000004,0.15,-0.21,5318,4.41,0.91,3.914,high,2.3729120029701067
HD82943,0.26,-0.02,0.01,-0.02,-0,0,-0.09,-0.03,-0.12,0,0.039999999999999994,-0.020000000000000004,5989,4.43,1.1,1.249,thin,3.3012470886362113
HD8326,0.04,0.05,-0.02,-0.13,0.06,0.16,-0.04,-0.07,0.05,-0.18,0.06,0.09000000000000001,4834,4.35,0.44,6.117,thin,2.406540180433955
HD83443,0.34,0.07,-0.05,0.05,0.27,0.09000000000000001,-0.21,0.02,0.03,-0.020000000000000004,0.15999999999999998,-0.07,5511,4.43,0.93,2.638,thin,2.9020028913507296
HD83529,-0.22,0.07,0.09,0.08,-0.1,-0.03,-0.03,-0.06,-0.05,0.009999999999999995,-0.11000000000000001,-0.08000000000000002,5902,4.35,1.11,8.954,thin,2.7972675408307164
HD8389A,0.34,0.07,-0.05,0.03,0.25,0.16,-0.23,-0,0.14,-0.04000000000000001,0.13,-0.1,5283,4.37,1.06,4.986,high,2.4409090820652177
HD8406,-0.1,0.03,0.03,0.02,-0.09,-0.05,0.09,-0.03,0.08,-0.009999999999999998,-0.06,0.06,5726,4.5,0.87,3.437,thin,2.5888317255942073
HD84305,-0.23,0.07,0.09,0.06,-0.05,-0.09,0.05,-0.02,0.04,-0.010000000000000009,-0.09,-0.02,5963,4.51,0.95,5.941,thin,2.0681858617461617
HD84627B,-0.28,0.04,0.09,0.04,-0.05,-0.12,0.13,-0.02,0.03,0,-0.15,0,6113,4.5,1.1,6.248,thin,2.1271047983648077
HD85119,-0.2,0.05,0.05,-0,-0.14,0,0.19,-0.05,0.2,-0.05,-0.11,0.13,5425,4.52,0.93,4.975,thin,2.8055008581584002
HD8535,0.04,-0,0.05,0,-0.05,-0.04,-0.02,-0.06,-0.06,0,0.01,0.049999999999999996,6158,4.42,1.25,2.916,thin,2.6757783416740852
HD85390,-0.09,0.09,-0,0.03,0.06,0.06,-0.07,-0.01,0.03,-0.06,0.020000000000000004,-0.04,5135,4.32,0.66,6.459,thin,2.8998205024270964
HD85512,-0.26,0.08,-0.07,0.12,0.14,0.1,-0.21,0.03,-0.12,0.039999999999999994,0.48,0.24000000000000002,4400,4.36,0.02,5.792,thick,2.622214022966295
HD85725,0.15,0.01,-0,-0.02,-0.05,0.05,-0.09,0.01,-0.12,-0.03,0.039999999999999994,-0.060000000000000005,5986,3.95,1.54,2.695,thin,2.788168371141168
HD86065,-0.03,0.07,-0.05,-0.05,0.05,0.11,-0.04,0.07,0.06,-0.12000000000000001,0.010000000000000002,-0.1,4863,4.27,0.38,6.424,thin,2.41161970596323
HD86140,-0.28,0.08,-0.05,0.06,0.03,0,-0,0.06,0.04,-0.020000000000000004,0,-0.06,4776,4.4,0.15,5.849,thin,2.503790683057181
HD86171,-0.25,0.08,0.09,0.05,-0.07,-0.010000000000000002,0.09,-0.01,0.17,-0.03,-0.06,0.04,5400,4.47,0.81,6.183,thin,2.617000341120899
HD8638,-0.38,0.26,0.14,0.24,0.06,0.040000000000000036,-0.13,0.18,-0.04,-0.020000000000000018,0.07,-0.24,5507,4.43,0.74,11.647,thick,2.4183012913197452
HD86652,0.13,-0.01,-0,-0.04,-0.04,0.010000000000000002,-0.05,-0.04,-0.07,-0.03,0.020000000000000004,0.010000000000000002,5934,4.47,1.01,1.595,thin,2.0863598306747484
HD870,-0.1,0.08,0.1,0.01,-0.06,0,0.11,-0,0.14,-0.07,-0.06,0.05,5381,4.42,0.79,4.389,thin,2.4785664955938436
HD87320,-0.17,0.14,0.08,0.14,0.07,0.06,-0.11,0.07,-0.01,0,-0.08,-0.26,5639,4.41,0.95,10.904,high,1.9867717342662448
HD87521,-0.01,0.07,0,-0.19,0.02,0.19,-0.01,-0.08,0.04,-0.26,0.02,0.09,4770,4.31,0.47,5.159,thin,2.1702617153949575
HD87838,-0.4,0.1,0.12,0.13,-0.04,-0.1,-0.08,-0.04,-0.07,0.03,-0.08,-0.12,6118,4.47,1.33,7.323,thin,2.7671558660821804
HD88084,-0.1,0.05,0.05,0.05,-0.01,0.009999999999999995,-0.02,0.01,-0.05,0,-0.06999999999999999,-0.09999999999999999,5766,4.42,0.96,7.223,thin,2.294466226161593
HD88218,-0.14,0.06,0.07,0.08,-0.01,-0.009999999999999995,-0.04,0.02,-0.08,0.020000000000000004,-0.060000000000000005,-0.12000000000000001,5878,4.16,1.23,7.329,thin,2.3710678622717363
HD8828,-0.16,0.09,0.02,0.03,0.01,0.04000000000000001,-0.05,0.02,0.04,-0.06,-0.03,-0.1,5403,4.46,0.72,7.331,thin,2.5514499979728753
HD88474,-0.48,0.08,0.11,-0.04,-0.12,0.03,0.09,-0.17,0.21,-0.12,-0.15,0.11000000000000001,6122,3.91,1.91,2.883,thin,2.27415784926368
HD8859,-0.09,0.04,0.03,0.01,0.04,0.07,-0.04,0.07,0.05,-0.03,-0.010000000000000002,-0.12000000000000001,5502,4.41,0.77,7.283,thin,2.2068258760318495
HD88656,-0.12,0.05,0.06,-0.01,-0.02,0.01,0.14,0.01,0.16,-0.060000000000000005,-0.06000000000000001,0.07,5099,4.35,0.69,6.498,thin,2.2833012287035497
HD88725,-0.64,0.25,0.2,0.28,-0.05,-0.09000000000000002,-0.03,0.15,0.01,0.030000000000000027,-0.020000000000000004,-0.2,5654,4.49,0.86,12.736,thick,2.932980821923198
HD88742,-0.02,-0.02,0.03,-0.03,-0.11,-0.05,0.09,-0.08,-0.01,-0.009999999999999998,-0.09,0.08,5981,4.52,1.07,1.596,thin,3.0958664534785427
HD88885,-0.11,0.05,0.03,0.05,-0.02,0.009999999999999995,0.03,0.01,0.13,0,-0.03,-0.01,5361,4.46,0.77,5.810,thin,2.0644579892269186
HD8912,-0.07,0.07,0,0.01,0.01,0.03,0.06,0.07,0.12,-0.060000000000000005,0.03,0.01999999999999999,5211,4.43,0.7,5.308,thin,2.3384564936046046
HD89147,-0.09,0.08,0.02,0.02,-0.03,0.030000000000000002,0.1,-0.03,0.17,-0.06,-0.03,0.1,5310,4.45,0.76,5.127,thin,2.0453229787866576
HD8930,-0.23,0.06,0.03,-0.05,-0.1,-0.03,0.17,-0.1,0.16,-0.11,-0.16,0.11,5687,4.52,0.79,4.418,thin,1.8325089127062364
HD89454,0.12,0.02,0.02,-0.02,-0.05,0,0.05,-0.06,0.05,-0.04,-0.010000000000000002,0.1,5728,4.47,0.96,1.812,thin,3.064083435963596
HD89749,-0.29,0.09,0.11,0.05,-0.01,0,0.05,0.03,0.1,-0.039999999999999994,-0.11,-0.09,5443,4.48,0.61,7.868,thin,2.0569048513364727
HD89839,0.04,0.01,0.01,-0.01,-0.11,-0.08,-0.02,-0.11,-0.05,-0.02,0.01,0.1,6314,4.49,1.35,1.559,thin,2.519827993775719
HD8985,-0.01,0.11,-0.01,-0.02,-0.04,-0.09,-0.01,-0.17,0.28,-0.13,0.06999999999999999,0.23,6473,4.96,2.15,0.651,thin,1.845098040014257
HD89965,-0.11,0.12,0.02,-0.06,0.02,0.13,0.04,-0.03,0.09,-0.18,-0.03,0.04,4958,4.36,0.58,5.451,thin,2.2671717284030137
HD90081,-0.2,0.05,0.08,0.07,-0.06,-0.14,-0.06,-0.02,-0.09,0.020000000000000004,-0.05,-0.09,5912,4.34,1.08,8.492,thin,1.9493900066449128
HD90133,-0.17,0.13,0.02,-0.01,-0.01,0.09,0.01,0,-0.07,-0.14,-0.060000000000000005,-0.05,4995,4.27,0.25,7.071,thin,1.9777236052888478
HD90156,-0.24,0.08,0.04,0.07,-0.03,0.009999999999999995,-0.04,-0,-0,-0.009999999999999995,-0.049999999999999996,-0.09,5599,4.48,0.86,8.074,thin,2.571708831808688
HD90422,-0.62,0.12,0.11,0.13,-0.08,-0.09,-0.08,-0.05,0.04,0.010000000000000009,-0.05,-0.08,6085,4.14,1.67,6.010,thin,2.4638929889859074
HD90702,0.2,0,0.05,-0.06,-0.02,0.039999999999999994,-0.02,-0.08,-0.01,-0.06,-0.009999999999999998,0.05,5760,4.56,1.04,1.347,thin,2.012837224705172
HD90711,0.24,0.04,-0.05,0.05,0.19,0.009999999999999995,-0.19,0.02,0.03,0.010000000000000002,0.1,-0.11,5444,4.4,0.92,4.464,thin,2.7427251313046983
HD90722,0.31,-0.02,0,0.03,0.12,0.04000000000000001,-0.14,0,0.03,0.05,0.11000000000000001,-0.03,5711,4.28,1.06,5.806,thin,2.060697840353612
HD90812,-0.38,0.11,0.09,0.1,0.04,0.03,-0.03,0.05,0.02,-0.009999999999999995,-0.05,-0.13,5118,4.35,0.5,9.007,thin,2.5390760987927767
HD90926,0.13,0.04,0.01,0,0.1,0.03,-0.11,-0.01,0.01,-0.04,0.06,-0.04,5538,4.35,0.8,5.580,thin,2.03342375548695
HD90936,0.03,-0,0.03,-0.02,-0.05,-0.02,0.02,-0.05,-0.06,-0.02,-0.04,0.030000000000000002,5928,4.48,1.04,2.292,thin,2.1271047983648077
HD91267,-0.08,0.05,-0.09,0.04,0.12,0.019999999999999997,-0.07,-0.01,-0.03,-0.010000000000000002,0,-0.060000000000000005,4831,4.39,0.13,6.247,thin,2.0681858617461617
HD91345,-1.04,0.28,0.32,0.35,-0.29,-0.18999999999999997,0.31,0.15,0.32,0.06999999999999995,0,0.16,5658,4.53,0.71,---,thick,2.2041199826559246
HD91379,-0.29,0.05,0.04,0,-0.15,-0.14,0.18,-0.07,-0.02,-0.05,-0.24,0.010000000000000009,6164,4.41,0.98,5.119,thin,2.0293837776852097
HD9246,-0.56,0.19,0.07,0.05,0.06,0.08,-0.01,0.12,0.05,-0.14,-0.019999999999999997,-0.15,4976,4.52,0.33,6.747,thin,2.0253058652647704
HD92547,-0.37,0.11,0.1,0.08,-0.05,-0.06,-0.06,-0.07,-0.08,-0.03,-0.12,-0.10999999999999999,6020,4.45,1.14,8.264,thin,2.0969100130080562
HD92588,-0.02,0.05,0.01,0.07,0.1,-0.010000000000000009,-0.02,-0.03,0.12,0.020000000000000004,0.11,0.12,5105,3.6,0.94,4.424,high,3.2641091563058082
HD92719,-0.1,0.04,0.03,0.03,-0.08,-0.04,0.07,-0.03,0.05,-0.010000000000000002,-0.060000000000000005,0.04,5824,4.51,0.96,2.741,thin,2.9185545305502734
HD92788,0.27,0.02,-0.02,0.03,0.1,0.020000000000000004,-0.12,0,-0.03,0.009999999999999998,0.09,-0.03,5744,4.39,0.95,3.379,thin,2.89707700320942
HD93083,0.08,0.11,0.02,0.13,0.08,0.03,-0.15,-0.03,0.05,0.020000000000000004,0.039999999999999994,-0.08,5048,4.32,0.81,5.485,high,2.929418925714293
HD93351,-0.23,0.08,0.03,0.06,-0,0.06,0.02,-0,0.13,-0.020000000000000004,-0.09000000000000001,-0.07,5408,4.41,0.57,10.495,thin,2.1072099696478683
HD93380,-0.68,0.24,0.08,-0.02,0.07,0.22999999999999998,-0.05,-0.09,-0.01,-0.26,0.05,0.09,4512,4.61,0.05,5.244,thin,2.305351369446624
HD93385,0.02,0,0.03,0.01,-0.02,-0.02,-0.03,-0.03,-0.05,0.01,0,0,5977,4.42,1.14,4.130,thin,2.7958800173440754
HD93745,0.12,0.01,0.02,-0.02,-0.03,0.07,-0.05,-0.07,-0.02,-0.03,0.030000000000000002,0.05,6065,4.34,1.33,3.985,thin,2.093421685162235
HD93932,0.05,0,0.01,0.11,0.03,-0.07,-0.07,-0.01,-0.14,0.11,0.010000000000000009,-0.049999999999999996,5950,4.3,1.16,5.682,thin,2.173186268412274
HD94151,0.04,0.02,0,0.02,0.02,0,-0.04,0,-0.03,0,0.02,-0.02,5583,4.38,0.83,5.541,thin,2.591064607026499
HD94444,-0.62,0.11,0.17,0.14,-0.19,-0.2,-0.05,-0.07,-0.03,0.030000000000000013,-0.12000000000000001,-0.1,5998,4.34,1.29,11.715,thin,2.4216039268698313
HD94771,0.22,0.03,-0.02,0.03,0.09,0.04000000000000001,-0.09,-0,0,0,0.08,-0.01,5631,4.03,1.1,5.733,thin,2.640481436970422
HD94964,-0.07,0.1,0.12,-0.03,-0.18,-0.1,0.11,-0.19,0.14,-0.13,-0.06,0.24,6139,4.55,1.26,1.980,thin,2.03342375548695
HD95456,0.16,-0.01,0.05,-0.03,-0.04,-0.010000000000000002,-0.05,-0.08,-0.13,-0.019999999999999997,0.010000000000000002,0.04,6276,4.35,1.4,2.130,thin,3.3040594662175993
HD95521,-0.15,0.05,0.05,-0,-0.07,0,0.04,-0.04,0.07,-0.05,-0.05,0.03,5773,4.49,0.96,3.831,thin,2.7015679850559273
